iter	Passed	Remaining
739	1021	358
740	1022	357
741	1023	355
742	1024	354
743	1025	352
744	1026	351
745	1027	349
746	1028	348
747	1029	346
748	1030	345
749	1030	343
750	1031	342
751	1032	340
752	1033	339
753	1034	337
754	1035	336
755	1036	334
756	1037	333
757	1038	331
758	1039	330
759	1040	328
760	1041	327
761	1042	325
762	1043	324
763	1044	322
764	1045	321
765	1046	319
766	1047	318
767	1048	316
768	1049	315
769	1050	313
770	1051	312
771	1052	310
772	1053	309
773	1054	307
774	1055	306
775	1056	304
776	1057	303
777	1058	302
778	1059	300
779	1060	299
780	1061	297
781	1062	296
782	1063	294
783	1064	293
784	1065	291
785	1066	290
786	1067	289
787	1069	287
788	1070	286
789	1071	284
790	1072	283
791	1073	281
792	1074	280
793	1076	279
794	1077	277
795	1078	276
796	1079	274
797	1080	273
798	1081	272
799	1082	270
800	1083	269
801	1085	267
802	1086	266
803	1087	265
804	1088	263
805	1089	262
806	1090	260
807	1092	259
808	1093	258
809	1094	256
810	1095	255
811	1096	253
812	1097	252
813	1098	251
814	1099	249
815	1100	248
816	1101	246
817	1102	245
818	1103	243
819	1104	242
820	1105	241
821	1106	239
822	1107	238
823	1108	236
824	1109	235
825	1110	233
826	1111	232
827	1112	231
828	1113	229
829	1114	228
830	1115	226
831	1116	225
832	1117	224
833	1118	222
834	1119	221
835	1120	219
836	1121	218
837	1122	217
838	1123	215
839	1124	214
840	1125	212
841	1127	211
842	1128	210
843	1129	208
844	1130	207
845	1131	205
846	1132	204
847	1134	203
848	1135	201
849	1136	200
850	1137	199
851	1138	197
852	1139	196
853	1140	195
854	1142	193
855	1143	192
856	1144	190
857	1145	189
858	1146	188
859	1147	186
860	1148	185
861	1149	184
862	1150	182
863	1151	181
864	1152	179
865	1153	178
866	1154	177
867	1155	175
868	1156	174
869	1158	173
870	1159	171
871	1160	170
872	1161	168
873	1162	167
874	1163	166
875	1164	164
876	1165	163
877	1166	162
878	1167	160
879	1168	159
880	1169	158
881	1170	156
882	1172	155
883	1173	153
884	1174	152
885	1175	151
886	1177	149
887	1178	148
888	1179	147
889	1180	145
890	1181	144
891	1182	143
892	1183	141
893	1184	140
894	1186	139
895	1187	137
896	1188	136
897	1189	135
898	1190	133
899	1191	132
900	1192	131
901	1194	129
902	1195	128
903	1196	127
904	1197	125
905	1198	124
906	1199	123
907	1200	121
908	1201	120
909	1202	118
910	1204	117
911	1205	116
912	1206	114
913	1206	113
914	1207	112
915	1209	110
916	1210	109
917	1211	108
918	1212	106
919	1213	105
920	1214	104
921	1215	102
922	1216	101
923	1217	100
924	1218	98
925	1219	97
926	1220	96
927	1222	94
928	1223	93
929	1224	92
930	1224	90
931	1225	89
932	1226	88
933	1227	86
934	1228	85
935	1229	84
936	1230	82
937	1231	81
938	1233	80
939	1234	78
940	1235	77
941	1236	76
942	1237	74
943	1238	73
944	1239	72
945	1240	70
946	1241	69
947	1242	68
948	1243	66
949	1244	65
950	1245	64
951	1246	62
952	1247	61
953	1248	60
954	1249	58
955	1250	57
956	1251	56
957	1252	54
958	1253	53
959	1254	52
960	1255	50
961	1256	49
962	1257	48
963	1258	46
964	1259	45
965	1260	44
966	1261	43
967	1262	41
968	1263	40
969	1264	39
970	1265	37
971	1266	36
972	1267	35
973	1268	33
974	1269	32
975	1270	31
976	1271	29
977	1271	28
978	1272	27
979	1273	25
980	1274	24
981	1276	23
982	1277	22
983	1278	20
984	1278	19
985	1279	18
986	1280	16
987	1281	15
988	1282	14
989	1283	12
990	1284	11
991	1285	10
992	1286	9
993	1287	7
994	1288	6
995	1289	5
996	1290	3
997	1291	2
998	1292	1
999	1293	0
